1642683180000,41945.14000000,41970.00000000,41940.06000000,41970.00000000,9.09014000,1642683239999,381378.32339970,463,4.80209000,201467.50978630,0
1642683240000,41970.00000000,42022.99000000,41969.81000000,42007.91000000,22.37684000,1642683299999,939790.67693070,648,18.28412000,767888.79099540,0
1642683300000,42007.92000000,42043.91000000,42007.91000000,42036.99000000,14.28620000,1642683359999,600497.30991550,502,9.08705000,381961.02727040,0
1642683360000,42036.99000000,42081.63000000,42036.99000000,42070.93000000,16.25957000,1642683419999,683954.98991300,613,10.14540000,426709.27002380,0
1642683420000,42070.94000000,42070.94000000,42043.71000000,42045.96000000,16.18981000,1642683479999,680906.98563260,474,6.29507000,264765.68649500,0
1642683480000,42045.95000000,42062.18000000,42039.77000000,42057.73000000,13.60827000,1642683539999,572249.12036390,450,4.47191000,188042.83286930,0
1642683540000,42057.73000000,42059.43000000,42031.20000000,42033.76000000,10.73281000,1642683599999,451244.16549630,397,2.87667000,120968.44853920,0
1642683600000,42033.77000000,42033.77000000,42001.61000000,42009.91000000,23.16335000,1642683659999,973065.72171060,649,14.14843000,594335.06364050,0
1642683660000,42009.92000000,42040.56000000,42009.91000000,42035.00000000,14.36466000,1642683719999,603752.76307320,603,5.55374000,233428.41551160,0
1642683720000,42034.99000000,42067.45000000,42033.00000000,42053.66000000,13.82548000,1642683779999,581402.33988020,630,7.68855000,323312.52245080,0
1642683780000,42053.67000000,42070.86000000,42044.87000000,42047.62000000,14.21741000,1642683839999,597931.74927310,533,4.41511000,185692.72798900,0
1642683840000,42047.61000000,42057.67000000,42040.00000000,42054.75000000,8.18043000,1642683899999,343958.20491770,453,2.73133000,114841.38054620,0
1642683900000,42054.75000000,42057.68000000,42041.39000000,42053.76000000,8.15528000,1642683959999,342954.11084200,528,2.27595000,95710.31405380,0
1642683960000,42054.96000000,42080.01000000,42053.76000000,42071.43000000,10.74833000,1642684019999,452174.62004970,480,6.45784000,271673.20635530,0
1642684020000,42071.43000000,42072.45000000,42053.94000000,42056.44000000,11.21812000,1642684079999,471888.69655370,417,3.99360000,167991.11181370,0
1642684080000,42056.45000000,42056.99000000,42024.00000000,42026.64000000,13.57659000,1642684139999,570813.94250620,501,2.39565000,100724.64450540,0
1642684140000,42026.64000000,42054.76000000,42026.64000000,42042.53000000,13.95119000,1642684199999,586513.57276060,499,9.22064000,387643.10475030,0
1642684200000,42042.53000000,42045.87000000,42019.25000000,42019.26000000,56.42867000,1642684259999,2371793.51477620,452,32.25801000,1355812.01899240,0
1642684260000,42019.25000000,42026.13000000,41993.18000000,41993.19000000,17.29061000,1642684319999,726357.25126090,484,7.29705000,306548.92083740,0
1642684320000,41993.20000000,41997.38000000,41975.27000000,41981.42000000,12.62279000,1642684379999,529963.25426320,451,6.47514000,271858.38648100,0
1642684380000,41981.42000000,42010.58000000,41979.45000000,42007.00000000,22.50242000,1642684439999,945054.15041030,495,15.44508000,648639.82884130,0
1642684440000,42006.99000000,42039.68000000,42001.45000000,42039.68000000,18.64214000,1642684499999,783194.50298230,442,9.03004000,379370.21097750,0
1642684500000,42039.68000000,42098.27000000,42027.39000000,42076.45000000,19.95954000,1642684559999,839765.76808970,622,9.18624000,386506.55740160,0
1642684560000,42076.46000000,42076.46000000,42054.26000000,42057.45000000,15.95240000,1642684619999,671058.39913580,429,8.32063000,350010.31760850,0
1642684620000,42057.46000000,42057.46000000,42023.63000000,42023.63000000,20.12098000,1642684679999,845963.69361380,448,4.75838000,200029.79267760,0
1642684680000,42023.63000000,42023.64000000,42006.32000000,42007.72000000,7.94412000,1642684739999,333781.51150400,368,3.41010000,143277.60633220,0
1642684740000,42007.72000000,42016.66000000,42000.57000000,42007.34000000,16.13619000,1642684799999,677874.20137070,404,7.29101000,306278.80233180,0
1642684800000,42007.34000000,42023.62000000,41983.50000000,41996.26000000,18.75765000,1642684859999,787907.55806940,399,7.43957000,312508.83603490,0
1642684860000,41996.27000000,42003.09000000,41982.34000000,42000.52000000,10.34419000,1642684919999,434390.99264350,472,5.11575000,214820.27875810,0
1642684920000,42000.52000000,42000.53000000,41976.62000000,41988.15000000,8.09809000,1642684979999,339999.61460580,357,4.63947000,194766.81650500,0
1642684980000,41988.16000000,41992.65000000,41976.71000000,41987.00000000,10.89993000,1642685039999,457637.33746180,432,4.34761000,182539.33378130,0
1642685040000,41986.99000000,42000.68000000,41984.68000000,41985.98000000,7.31209000,1642685099999,307042.65991740,333,4.04698000,169941.64702260,0
1642685100000,41985.98000000,41986.30000000,41970.19000000,41974.09000000,9.95400000,1642685159999,417855.66929540,391,3.49586000,146759.17352330,0
1642685160000,41974.08000000,41992.10000000,41972.41000000,41982.21000000,7.98173000,1642685219999,335061.05026880,348,5.10319000,214224.24178890,0
1642685220000,41982.21000000,42000.00000000,41977.69000000,41981.92000000,11.91686000,1642685279999,500385.06719540,356,7.91214000,332245.51005720,0
